team_id,map_name,side,win_type,count,percentage
79,split,defender,timeExpired,1,2.3
79,split,defender,bombDefused,12,27.3
79,split,attacker,opponentEliminated,14,31.8
97,haven,defender,bombDefused,14,25.5
97,haven,attacker,bombExploded,10,18.2
97,haven,defender,opponentEliminated,21,38.2
97,haven,attacker,opponentEliminated,9,16.4
97,haven,defender,timeExpired,1,1.8
99,fracture,defender,opponentEliminated,2,50.0
99,fracture,attacker,opponentEliminated,2,50.0
1611,haven,attacker,opponentEliminated,42,34.1
1611,haven,attacker,bombExploded,9,7.3
1611,haven,defender,opponentEliminated,36,29.3
1611,haven,defender,bombDefused,34,27.6
1611,haven,defender,timeExpired,2,1.6
81,abyss,defender,timeExpired,1,5.6
81,abyss,defender,bombDefused,6,33.3
81,abyss,defender,opponentEliminated,4,22.2
81,abyss,attacker,opponentEliminated,7,38.9
96,sunset,defender,timeExpired,3,7.1
96,sunset,attacker,bombExploded,2,4.8
96,sunset,defender,opponentEliminated,11,26.2
96,sunset,attacker,opponentEliminated,10,23.8
96,sunset,defender,bombDefused,16,38.1
99,bind,attacker,opponentEliminated,8,36.4
99,bind,defender,opponentEliminated,3,13.6
99,bind,attacker,bombExploded,4,18.2
99,bind,defender,bombDefused,7,31.8
1079,icebox,attacker,opponentEliminated,28,47.5
1079,icebox,defender,bombDefused,17,28.8
1079,icebox,defender,opponentEliminated,4,6.8
1079,icebox,attacker,bombExploded,10,16.9
1611,ascent,defender,opponentEliminated,40,38.1
1611,ascent,attacker,bombExploded,6,5.7
1611,ascent,defender,bombDefused,15,14.3
1611,ascent,attacker,opponentEliminated,43,41.0
1611,ascent,defender,timeExpired,1,1.0
337,breeze,attacker,opponentEliminated,6,46.2
337,breeze,defender,timeExpired,1,7.7
337,breeze,attacker,bombExploded,1,7.7
337,breeze,defender,bombDefused,2,15.4
337,breeze,defender,opponentEliminated,3,23.1
96,bind,defender,opponentEliminated,23,21.7
96,bind,defender,timeExpired,2,1.9
96,bind,attacker,bombExploded,10,9.4
96,bind,attacker,opponentEliminated,37,34.9
96,bind,defender,bombDefused,34,32.1
96,corrode,defender,opponentEliminated,1,5.6
96,corrode,defender,bombDefused,6,33.3
96,corrode,defender,timeExpired,1,5.6
96,corrode,attacker,opponentEliminated,8,44.4
96,corrode,attacker,bombExploded,2,11.1
99,sunset,attacker,opponentEliminated,8,47.1
99,sunset,defender,opponentEliminated,3,17.6
99,sunset,defender,bombDefused,5,29.4
99,sunset,attacker,bombExploded,1,5.9
